1, 1, 1, 111, 18.93, 1000, B
2, 1, 1, 111, 18.93, 1000, B
3, 1, 1, 111, 18.93, 1000, B
4, 1, 1, 111, 18.93, 1000, B
5, 2, 1, 111, 18.93, 1000, B
6, 2, 1, 111, 18.93, 1000, B
7, 2, 1, 111, 18.93, 1000, B
8, 2, 1, 111, 18.93, 1000, B
9, 3, 1, 111, 18.93, 1000, B
10, 3, 1, 111, 18.93, 1000, B
11, 3, 1, 111, 18.93, 1000, B
12, 3, 1, 111, 18.94, 1000, B
13, 4, 1, 111, 18.94, 1000, B
14, 4, 1, 111, 18.94, 1000, B
15, 4, 1, 111, 18.94, 1000, B
16, 4, 1, 111, 18.94, 1000, B
17, 5, 1, 111, 18.94, 1000, B
18, 5, 1, 111, 18.94, 1000, B
19, 5, 1, 111, 18.94, 1000, B
20, 5, 1, 111, 18.94, 1000, B
